accident_ymd,기타,분만,소화기,신경계,심혈관,외상,체온,출혈,통증,호흡기
20200101,114,0,14,116,63,75,57,9,406,29
20200102,148,1,19,134,77,78,71,11,506,27
20200103,132,1,23,155,67,69,57,7,468,51
20200104,122,1,19,109,62,69,49,6,436,39
20200105,84,2,19,108,60,70,70,7,422,39
20200106,150,0,14,121,68,60,61,6,518,45
20200107,128,1,13,135,77,65,60,9,510,47
20200108,124,0,26,124,63,73,60,4,471,39
20200109,107,1,23,121,57,63,48,9,468,32
20200110,117,0,17,134,69,61,62,7,401,39
20200111,116,1,22,122,67,85,63,8,431,40
20200112,126,1,19,108,56,68,45,10,419,42
20200113,137,1,15,138,74,68,63,9,499,48
20200114,117,0,12,132,61,61,49,3,446,34
20200115,124,0,18,128,70,76,53,3,429,31
20200116,126,1,20,105,62,69,44,8,439,39
20200117,126,1,15,144,60,99,44,5,447,37
20200118,110,1,23,109,59,91,47,5,436,27
20200119,129,1,8,127,71,82,53,2,437,38
20200120,153,1,20,108,90,79,50,11,461,35
20200121,129,1,20,140,68,75,58,11,438,39
20200122,93,1,18,131,69,76,58,10,443,51
20200123,81,1,23,124,55,83,55,7,462,39
20200124,66,0,22,111,57,80,47,5,374,28
20200125,73,1,27,106,65,61,59,11,400,38
20200126,72,1,21,137,62,56,64,6,440,39
20200127,76,3,23,125,63,50,55,11,429,37
20200128,100,2,16,158,69,47,52,12,433,59
20200129,79,0,11,126,60,62,53,8,428,51
20200130,82,0,22,116,70,74,47,10,406,40
20200131,69,0,21,124,48,72,43,8,414,47
20200201,81,0,18,102,57,87,42,9,377,42
20200202,75,2,22,103,58,66,47,9,380,35
20200203,95,0,17,131,78,79,47,7,456,42
20200204,54,0,15,132,53,84,31,6,393,35
20200205,72,3,20,109,57,67,26,6,402,39
20200206,60,0,12,96,49,67,41,9,437,28
20200207,68,0,23,118,58,81,33,6,419,38
20200208,54,1,19,117,54,93,27,7,426,24
20200209,66,1,11,117,55,78,26,10,364,25
20200210,109,0,18,123,63,76,38,6,471,36
20200211,67,0,13,122,66,84,35,6,407,28
20200212,84,3,12,116,62,82,27,6,386,43
20200213,75,1,20,109,56,82,33,10,381,31
20200214,81,1,16,127,52,65,41,9,446,30
20200215,73,0,15,136,54,83,31,4,419,30
20200216,71,0,25,114,33,99,28,6,417,36
20200217,83,0,19,111,65,82,37,9,522,37
20200218,75,0,24,107,67,84,28,3,434,33
20200219,58,0,20,98,53,72,26,7,415,24
20200220,70,1,12,106,66,76,38,7,422,34
20200221,72,1,11,94,52,88,23,7,359,36
20200222,45,1,16,89,51,70,26,12,343,32
20200223,47,0,17,80,31,59,31,5,318,27
20200224,63,0,9,134,64,52,47,10,362,35
20200225,58,3,11,79,60,52,36,4,310,20
20200226,69,1,7,75,56,51,37,14,290,28
20200227,46,2,14,93,48,66,45,8,320,29
20200228,66,1,12,92,56,71,32,5,282,40
20200229,63,1,14,83,52,97,28,3,267,36
20200301,48,0,9,94,50,62,21,8,319,31
20200302,52,1,13,98,54,51,46,7,326,32
20200303,70,0,9,95,62,54,27,7,316,35
20200304,55,0,11,104,53,55,32,3,287,35
20200305,53,0,11,112,56,49,27,13,295,35
20200306,53,0,14,102,58,52,15,10,282,32
20200307,57,0,10,81,51,59,35,6,280,31
20200308,58,1,9,90,57,58,31,13,295,23
20200309,64,1,12,115,64,73,34,8,342,28
20200310,59,0,17,82,60,59,39,6,306,32
20200311,57,0,13,94,62,59,23,11,295,39
20200312,57,0,7,84,73,54,31,7,324,35
20200313,44,1,5,99,65,67,22,8,301,37
20200314,58,3,13,87,47,57,28,3,286,42
20200315,57,0,9,95,57,68,24,9,296,19
20200316,61,2,7,119,57,74,32,9,345,44
20200317,72,0,10,97,65,75,27,8,326,28
20200318,57,1,11,80,51,70,32,6,344,39
20200319,55,0,10,93,51,66,38,10,303,33
20200320,59,0,9,101,61,65,25,4,335,34
20200321,60,0,18,110,61,64,33,2,292,38
20200322,55,0,9,103,58,84,29,8,334,35
20200323,64,0,9,114,74,59,31,10,354,40
20200324,50,0,18,104,53,72,32,4,333,28
20200325,62,0,18,89,64,69,27,7,323,40
20200326,61,1,10,98,64,73,29,8,336,35
20200327,66,1,18,110,55,60,36,2,333,31
20200328,63,2,13,89,48,69,29,4,336,34
20200329,59,0,7,106,54,65,21,3,327,33
20200330,86,0,15,116,65,70,29,7,370,30
20200331,64,2,17,95,56,54,31,6,331,20
20200401,60,0,11,102,61,62,26,9,307,30
20200402,64,0,11,91,57,65,20,6,359,45
20200403,56,0,13,112,55,68,30,7,333,27
20200404,52,1,12,109,53,82,31,11,324,23
20200405,61,0,7,102,51,76,32,11,311,18
20200406,65,0,10,108,77,47,31,13,381,28
20200407,73,1,8,117,54,63,32,10,318,29
20200408,61,1,17,101,49,78,21,4,336,22
20200409,64,1,9,107,58,72,18,16,333,37
20200410,65,0,20,91,45,63,25,10,332,23
20200411,52,3,18,84,53,85,17,5,361,29
20200412,62,0,12,109,56,85,26,3,320,37
20200413,77,0,18,119,56,70,25,4,381,35
20200414,71,0,15,89,65,79,22,5,318,32
20200415,62,0,8,110,61,75,19,14,381,20
20200416,80,1,12,109,49,83,32,6,343,29
20200417,68,2,14,111,47,79,28,11,359,37
20200418,53,1,10,104,72,81,27,10,383,19
20200419,50,0,13,89,51,66,23,9,340,31
20200420,79,0,16,123,76,55,32,6,376,46
20200421,82,0,14,87,61,66,22,4,353,23
20200422,73,1,13,106,58,59,34,9,347,20
20200423,50,0,12,102,58,57,32,9,350,28
20200424,77,1,12,96,65,64,24,10,372,30
20200425,71,0,9,108,60,88,34,9,353,33
20200426,61,0,17,111,66,83,24,8,396,27
20200427,88,0,10,154,59,59,26,12,374,44
20200428,97,0,14,152,64,64,20,8,356,28
20200429,66,1,12,120,61,83,26,8,410,32
20200430,68,0,8,91,55,77,31,5,363,20
20200501,80,0,8,121,61,80,23,3,421,33
20200502,78,1,11,104,61,103,29,8,375,35
20200503,73,1,9,142,72,90,21,8,374,35
20200504,75,1,25,129,52,86,21,13,426,31
20200505,52,2,16,87,49,87,27,8,376,35
20200506,100,0,12,107,57,83,26,10,434,27
20200507,78,0,6,106,50,80,17,7,409,27
20200508,77,0,12,131,58,74,20,10,416,32
20200509,69,0,14,119,45,58,20,7,374,30
20200510,68,0,13,106,56,66,35,6,359,29
20200511,87,0,14,104,52,84,24,6,416,37
20200512,73,1,8,121,61,75,31,11,377,22
20200513,70,1,18,131,58,72,22,9,360,29
20200514,84,0,8,126,48,85,34,8,403,30
20200515,81,0,15,128,59,77,28,4,407,30
20200516,59,0,16,95,47,84,21,6,398,33
20200517,70,2,13,118,55,85,28,8,363,32
20200518,81,1,15,118,65,85,28,9,425,37
20200519,72,0,12,98,52,66,35,5,351,27
20200520,86,1,14,106,51,78,41,6,375,24
20200521,115,0,14,137,56,79,36,3,446,37
20200522,121,0,20,112,58,84,44,8,416,35
20200523,108,0,9,106,67,99,35,11,382,29
20200524,108,0,12,109,61,88,31,4,376,29
20200525,149,0,24,137,65,88,35,8,460,36
20200526,139,3,25,119,49,103,50,7,408,42
20200527,148,1,25,115,70,80,58,5,429,22
20200528,127,1,21,119,58,85,41,5,431,31
20200529,154,0,18,115,63,93,49,7,408,34
20200530,121,1,17,107,49,111,36,11,394,41
20200531,98,2,10,113,70,95,35,12,368,38
20200601,131,1,19,129,76,89,47,6,485,34
20200602,122,3,12,102,49,75,36,10,418,35
20200603,147,0,14,127,53,87,60,13,417,35
20200604,139,0,9,132,58,89,42,9,420,24
20200605,143,0,17,111,60,101,42,11,440,41
20200606,138,0,15,107,51,102,29,11,384,29
20200607,131,0,18,117,57,109,31,8,400,37
20200608,159,1,16,146,63,91,65,7,431,42
20200609,127,1,12,109,53,79,53,5,400,33
20200610,149,0,10,122,59,89,57,1,442,26
20200611,130,1,16,112,50,91,60,7,381,47
20200612,138,0,5,139,53,79,36,7,387,27
20200613,135,0,15,128,43,114,45,9,431,25
20200614,117,0,14,97,66,99,35,7,394,29
20200615,148,0,10,129,42,85,43,13,426,33
20200616,139,1,14,126,64,78,36,4,376,34
20200617,129,0,12,112,62,64,41,8,402,35
20200618,137,1,11,127,59,85,28,6,365,34
20200619,131,1,11,143,59,116,46,7,384,25
20200620,121,2,17,121,51,101,33,7,419,26
20200621,122,0,11,125,48,97,36,5,431,30
20200622,149,1,18,147,61,87,46,6,379,35
20200623,130,0,16,96,54,82,40,13,378,32
20200624,121,0,22,109,44,84,42,7,402,46
20200625,134,2,12,134,62,103,38,18,438,36
20200626,121,2,8,105,51,88,33,9,403,33
20200627,128,0,13,115,54,115,32,5,392,27
20200628,136,1,10,109,48,102,30,7,390,22
20200629,160,0,29,130,56,69,36,5,437,34
20200630,118,1,13,125,63,89,30,5,391,28
20200701,131,0,18,111,48,82,32,7,405,30
20200702,118,4,11,122,49,82,44,6,387,40
20200703,139,1,17,148,66,102,46,6,385,40
20200704,140,0,15,124,47,94,33,13,444,30
20200705,120,0,9,121,51,97,39,10,390,31
20200706,142,1,12,132,71,97,38,8,407,38
20200707,142,0,14,111,60,90,31,9,451,35
20200708,135,2,20,130,63,90,39,8,434,37
20200709,142,0,12,148,51,95,45,14,434,25
20200710,128,0,19,141,53,90,28,9,427,36
20200711,116,0,18,108,58,116,36,9,457,19
20200712,107,0,10,95,50,94,34,5,390,29
20200713,120,1,17,116,57,93,36,7,454,42
20200714,127,0,13,118,50,85,36,9,431,28
20200715,165,0,11,124,56,97,40,9,452,32
20200716,125,1,15,118,64,96,41,7,376,24
20200717,130,1,20,120,53,104,48,8,406,32
20200718,132,2,18,116,63,89,51,3,425,27
20200719,102,1,24,97,34,102,40,6,367,30
20200720,159,0,12,118,75,96,38,12,512,37
20200721,175,0,13,155,68,96,44,2,481,26
20200722,136,2,14,109,43,101,43,2,384,34
20200723,146,0,11,121,63,99,25,5,432,29
20200724,143,0,10,126,66,89,28,10,383,28
20200725,113,0,15,136,54,120,27,4,450,32
20200726,137,1,15,105,61,106,33,5,423,22
20200727,128,1,11,147,51,80,37,7,450,42
20200728,108,0,15,140,51,85,28,5,384,36
20200729,130,1,22,140,41,104,32,6,400,23
20200730,144,1,20,139,54,91,40,5,472,25
20200731,154,1,17,131,65,103,37,5,441,28
20200801,147,0,14,119,49,90,30,12,409,29
20200802,137,0,26,91,47,83,33,9,382,28
20200803,139,0,17,134,79,85,29,5,448,39
20200804,136,0,16,142,54,96,43,5,407,32
20200805,121,0,24,133,55,100,29,6,439,31
20200806,132,3,17,111,51,110,39,10,420,26
20200807,152,1,16,142,52,106,33,10,403,31
20200808,123,0,15,132,51,102,43,9,400,27
20200809,119,0,16,115,66,81,25,9,368,19
20200810,139,0,11,151,80,78,40,12,442,37
20200811,145,1,16,108,52,100,46,6,415,33
20200812,139,0,13,139,69,89,36,13,423,36
20200813,131,0,13,142,52,73,41,9,367,40
20200814,144,1,10,135,68,94,44,13,398,32
20200815,155,0,18,118,46,106,43,5,424,30
20200816,180,1,18,115,44,98,34,7,370,35
20200817,173,0,16,126,55,72,50,4,414,32
20200818,176,1,16,145,59,80,46,7,418,38
20200819,173,0,14,110,52,72,56,11,364,28
20200820,161,1,13,123,65,89,43,9,377,27
20200821,151,1,11,119,63,86,52,6,379,27
20200822,138,0,19,122,56,99,50,3,395,36
20200823,131,0,15,109,64,90,48,8,367,17
20200824,166,1,13,135,52,88,44,9,423,38
20200825,175,1,8,87,79,89,48,10,363,35
20200826,166,0,8,129,58,94,62,9,398,28
20200827,178,0,8,120,58,97,50,8,326,26
20200828,172,0,6,98,55,81,47,5,353,32
20200829,146,1,12,96,48,100,35,12,339,34
20200830,137,0,13,94,58,79,50,8,364,23
20200831,183,0,7,130,53,66,43,8,388,24
20200901,143,0,7,108,51,70,36,7,327,18
20200902,135,1,10,88,48,69,33,12,320,28
20200903,135,1,9,93,53,64,40,3,350,27
20200904,130,0,8,106,43,77,30,8,356,24
20200905,108,1,7,96,53,96,28,8,361,23
20200906,110,1,10,104,46,73,21,10,327,30
20200907,124,0,9,117,53,74,27,5,387,36
20200908,127,0,11,107,47,71,35,5,380,27
20200909,115,0,12,108,56,61,35,5,336,28
20200910,119,0,15,97,56,98,36,2,350,32
20200911,122,0,11,112,61,81,33,3,364,22
20200912,104,0,17,107,46,77,28,6,325,28
20200913,97,1,15,109,45,80,32,7,362,28
20200914,124,0,13,122,76,80,37,9,371,33
20200915,150,0,8,97,63,73,37,3,390,26
20200916,149,0,15,89,65,83,25,2,389,37
20200917,111,4,11,118,58,105,36,9,344,19
20200918,120,1,12,113,63,84,34,8,428,23
20200919,112,0,9,100,59,106,37,8,365,21
20200920,107,0,9,109,42,100,24,5,393,26
20200921,158,0,10,154,78,104,31,5,378,33
20200922,135,1,12,106,54,115,24,10,401,25
20200923,131,1,5,114,51,83,27,7,354,31
20200924,116,0,11,100,54,92,31,9,407,39
20200925,134,1,10,147,57,95,30,3,389,33
20200926,111,1,15,93,64,124,30,3,377,34
20200927,94,0,11,113,57,88,31,9,414,20
20200928,130,0,11,147,74,102,31,11,466,44
20200929,158,0,10,109,54,92,44,11,410,25
20200930,96,0,16,108,55,95,26,1,419,27
20201001,111,0,8,114,59,76,30,10,328,24
20201002,110,0,9,89,55,74,42,5,439,29
20201003,120,0,16,119,52,93,30,6,405,26
20201004,118,0,5,121,59,87,33,9,419,26
20201005,145,0,16,149,80,78,27,8,439,39
20201006,107,2,10,106,54,79,40,11,416,34
20201007,123,2,15,125,70,67,31,8,400,28
20201008,121,3,15,118,58,86,27,5,392,33
20201009,106,0,7,103,53,114,28,6,372,33
20201010,118,0,20,117,59,86,18,8,427,26
20201011,105,0,12,112,63,98,14,3,392,43
20201012,126,1,14,127,66,72,31,4,447,37
20201013,128,1,8,110,55,72,26,5,391,35
20201014,111,4,14,110,70,87,35,3,371,31
20201015,116,1,11,107,53,93,20,5,364,37
20201016,107,0,8,106,72,85,31,16,366,24
20201017,109,0,5,108,65,104,20,10,391,19
20201018,108,0,7,99,50,99,26,10,382,24
20201019,116,3,15,124,71,79,19,9,394,32
20201020,116,0,16,105,58,88,32,3,401,38
20201021,124,0,10,149,54,104,40,6,418,32
20201022,150,1,11,153,68,85,33,10,376,50
20201023,107,0,13,118,71,89,38,8,373,32
20201024,126,0,15,116,42,98,31,5,444,28
20201025,102,1,8,91,62,97,30,8,388,29
